k,state,true_mean,sample_mean,sample_std,abs_err
7,99,0.3333333333333333,0.41876058749445566,0.04293266400090606,0.08542725416112235
7,100,0.3333333333333333,0.385558689292074,0.04476368966561236,0.05222535595874067
7,101,0.5,0.35459288952365264,0.06513665896852784,0.14540711047634736
7,102,0.5,0.41431762375900844,0.054801848969727826,0.08568237624099156
7,103,0.5,0.38879187038307667,0.07143372437123068,0.11120812961692333
7,104,0.5,0.4231206684205208,0.04259652619201726,0.07687933157947918
7,105,0.5,0.4155746617653,0.05629905925980779,0.0844253382347
7,106,0.5,0.375717966571742,0.07459870510016085,0.124282033428258
7,107,0.5,0.3849768240629585,0.043808523105885025,0.11502317593704148
7,108,0.5,0.40893770565933624,0.05952165951684247,0.09106229434066376
7,109,0.5,0.3915049261339511,0.0679371323657289,0.1084950738660489
7,110,0.5,0.44243053796500836,0.0596776735615898,0.057569462034991636
7,111,0.5,0.40197997009923586,0.06880589300109802,0.09802002990076414
7,112,0.5,0.4298023198078362,0.06249711191492915,0.07019768019216382
7,113,0.6666666666666666,0.3744110217032622,0.06836784555853051,0.29225564496340445
7,114,0.5,0.3977704031141747,0.03596943110183596,0.10222959688582528
7,115,0.5,0.3809064542964055,0.05305532482630423,0.11909354570359448
7,116,0.5,0.39311315933125784,0.05890204346382981,0.10688684066874216
7,117,0.5,0.3830662480752151,0.044019059769193125,0.11693375192478489
7,118,0.5,0.388891031274487,0.08056284180253782,0.11110896872551301
7,119,0.5,0.405171860410831,0.0875163934127251,0.09482813958916902
7,120,0.6666666666666666,0.41953423900459785,0.07349766054122225,0.24713242766206878
7,121,0.5,0.4202139564543287,0.08138877584736603,0.07978604354567131
7,122,0.5,0.40360375690811057,0.07238706289099996,0.09639624309188943
7,123,0.5,0.4042820332013185,0.07888869201148158,0.0957179667986815
7,124,0.3333333333333333,0.385105384420544,0.04424988501876278,0.05177205108721067
7,125,0.5,0.37317305137606427,0.08608316027522261,0.12682694862393573
7,126,0.5,0.4092241064097048,0.08888199758040283,0.0907758935902952
7,127,0.5,0.3893736471861472,0.06948137255664265,0.1106263528138528
