step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
130,0.6018433161079884,6.500000000000001e-05,535.2050685882568,0.6101716087591234,0.48744039940956213,25.17871097640365,0
131,0.5912445560097694,6.55e-05,539.104451417923,0.6101716087591234,0.48744039940956213,25.17871097640365,0
132,0.6008773818612099,6.6e-05,543.0004231929779,0.6101716087591234,0.48744039940956213,25.17871097640365,0
133,0.5896611735224724,6.65e-05,546.9112012386322,0.6101716087591234,0.48744039940956213,25.17871097640365,0
134,0.6311212033033371,6.7e-05,550.8581268787384,0.6101716087591234,0.48744039940956213,25.17871097640365,0
135,0.608257457613945,6.75e-05,554.8180749416351,0.6101716087591234,0.48744039940956213,25.17871097640365,0
136,0.5933808423578739,6.8e-05,558.781521320343,0.6101716087591234,0.48744039940956213,25.17871097640365,0
137,0.5978763476014137,6.850000000000001e-05,562.6880073547363,0.6101716087591234,0.48744039940956213,25.17871097640365,0
138,0.6087621971964836,6.900000000000001e-05,566.645124912262,0.6101716087591234,0.48744039940956213,25.17871097640365,0
139,0.5941569805145264,6.950000000000001e-05,570.5483949184418,0.6101716087591234,0.48744039940956213,25.17871097640365,0
140,0.6216296553611755,7.000000000000001e-05,574.4518954753876,0.6101716087591234,0.48744039940956213,25.17871097640365,0
141,0.5764442048966885,7.05e-05,578.3549151420593,0.6101716087591234,0.48744039940956213,25.17871097640365,0
142,0.617800660431385,7.1e-05,582.2569975852966,0.6101716087591234,0.48744039940956213,25.17871097640365,0
143,0.5879513993859291,7.15e-05,586.1609718799591,0.6101716087591234,0.48744039940956213,25.17871097640365,0
144,0.5856598764657974,7.2e-05,590.0604000091553,0.6101716087591234,0.48744039940956213,25.17871097640365,0
145,0.6378806531429291,7.25e-05,593.9726090431213,0.6101716087591234,0.48744039940956213,25.17871097640365,0
146,0.5784205161035061,7.3e-05,597.886470079422,0.6101716087591234,0.48744039940956213,25.17871097640365,0
147,0.633461520075798,7.35e-05,601.7916984558105,0.6101716087591234,0.48744039940956213,25.17871097640365,0
148,0.6123560965061188,7.4e-05,605.6958751678467,0.6101716087591234,0.48744039940956213,25.17871097640365,0
